4111111111111111 John       5000 1200
5500000000000004 Jane       7500 3450
4000123456789010 Alex       3000 450
5105105105105100 Emily      10000 9875
3782822463100052 Michael    6000 1500
6011000990139424 Sarah      8000 4220
4012888888881881 David      4000 3500
5200828282828210 Laura      7000 120
3714496353984314 Sophia     9000 2500
4222222222222234 Chris      2000 1800
5555555555554444 Olivia     15000 7500
6011111111111117 Daniel     5000 200
4005519200000004 Mia        4500 3450
2223000048440011 Lucas      1000 800
3400000000000094 Zoe        11000 10500
